Loading,SSA,DP,TPV,D_M,PE_M,FIE_M,MR_M,EA_M,WF_M,AN_M,BM_M,MP_M,MP_S,Temp,Time,C_wt,P,SV,conver,selec
4.3,635,5.2,1.07,0.226,2.28,9,139,2.13,5.65,78,230,1768,1710,399.85,,0.1,2.2,,1.84,
,776,3.8,0.86,0.34,2.16,7.1,130,0.75,4.6,42,320,2623,1710,399.85,,0.1,2.2,,4.62,
,960,10.85,1.22,10.5,2.16,7.1,130,0.75,4.6,42,320,2623,1710,399.85,,0.1,2.2,,8.63,7.8
,776,9.45,0.86,11,2.16,7.1,130,0.75,4.6,42,320,2623,1710,399.85,,0.1,2.2,,41.85,11.67
,595,3.4,0.43,11.8,2.16,7.1,130,0.75,4.6,42,320,2623,1710,399.85,,0.1,2.2,,3.8,0.12
,186,3.4,0.15,13.7,2.16,7.1,130,0.75,4.6,42,320,2623,1710,399.85,,0.1,2.2,,12.43,0.42
17.4,239,,0.19,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,399.85,120,16,1.5,,19,21.62
17.4,239,,0.19,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,399.85,240,16,1.5,,15.7,21.62
17.4,239,,0.19,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,399.85,360,16,1.5,,14.67,21.62
17.4,239,,0.19,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,399.85,480,16,1.5,,13.28,21.62
17.4,239,,0.19,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,399.85,600,16,1.5,,12.75,21.62
17.4,239,,0.19,,1.91,7.64,124,1.16,5.15,28,180,1455,1710,399.85,720,16,1.5,,11.81,21.62
17.81,191,,0.38,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,399.85,120,16,1.5,,12.5,10.13
17.81,191,,0.38,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,399.85,240,16,1.5,,9.12,10.13
17.81,191,,0.38,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,399.85,360,16,1.5,,8.05,10.13
17.81,191,,0.38,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,399.85,480,16,1.5,,6.04,10.13
17.81,191,,0.38,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,399.85,600,16,1.5,,5.7,10.13
17.81,191,,0.38,,1.91,7.64,124,1.16,5.15,28,180,1455,2072,399.85,720,16,1.5,,5.1,10.13
1,,,,1.4,2.28,9,139,2.13,5.65,78,230,1768,1843,300,15,,0.1,2.47,60.28,99.84
1,,,,1.4,2.28,9,139,2.13,5.65,78,230,1768,1843,300,45,,0.1,2.47,55.57,99.84
1,,,,1.4,2.28,9,139,2.13,5.65,78,230,1768,1843,300,75,,0.1,2.47,51.76,99.84
1,,,,1.4,2.28,9,139,2.13,5.65,78,230,1768,1843,300,105,,0.1,2.47,48.75,99.84
1,,,,1.4,2.28,9,139,2.13,5.65,78,230,1768,1843,300,135,,0.1,2.47,46.39,99.84
1,,,,14.6,2.28,9,139,2.13,5.65,78,230,1768,1710,300,15,,0.1,2.47,3.01,27.86
1,,,,14.6,2.28,9,139,2.13,5.65,78,230,1768,1710,300,45,,0.1,2.47,1.04,27.86
1,,,,14.6,2.28,9,139,2.13,5.65,78,230,1768,1710,300,75,,0.1,2.47,0.26,27.86
1,,,,14.6,2.28,9,139,2.13,5.65,78,230,1768,1710,300,105,,0.1,2.47,0.13,27.86
1,,,,14.6,2.28,9,139,2.13,5.65,78,230,1768,1710,300,135,,0.1,2.47,0.13,27.86
1,,,,1,2.28,9,139,2.13,5.65,78,230,1768,2072,270,15,,0.1,2.47,43.3,99.89
1,,,,1,2.28,9,139,2.13,5.65,78,230,1768,2072,300,15,,0.1,2.47,74,99.91
1,,,,1,2.28,9,139,2.13,5.65,78,230,1768,2072,300,45,,0.1,2.47,73.85,99.91
1,,,,1,2.28,9,139,2.13,5.65,78,230,1768,2072,300,75,,0.1,2.47,73.7,99.91
